"Date of data","Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"201906","84862041","Dry plasma etching for the manufacture of semiconductor or IC","79","Number of item","429194","Kilogram","204,648,510",
"201906","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","43","Number of item","186363","Kilogram","39,524,991",
"201906","84862050","Ion implanters","13","Number of item","268270","Kilogram","39,180,526",
"201906","84862090","Other apparatus for the manufacture of semiconductor devices","286","Number of item","754214","Kilogram","105,038,009",
"201907","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","91","Number of item","467636","Kilogram","109,353,828",
"201907","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","94","Number of item","674919","Kilogram","154,867,657",
"201907","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","34","Number of item","444282","Kilogram","45,049,180",
"201907","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","7","Number of item","11826","Kilogram","8,981,077",
"201907","84862031","Step and repeat alignersw","14","Number of item","83857","Kilogram","26,241,205",
"201907","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","29","Number of item","322360","Kilogram","150,781,366",
"201907","84862041","Dry plasma etching for the manufacture of semiconductor or IC","94","Number of item","353336","Kilogram","173,304,647",
"201907","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","91","Number of item","268368","Kilogram","54,965,698",
"201907","84862050","Ion implanters","18","Number of item","302591","Kilogram","47,865,749",
"201907","84862090","Other apparatus for the manufacture of semiconductor devices","428","Number of item","712180","Kilogram","224,585,816",
"201908","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","143","Number of item","961559","Kilogram","190,380,069",
"201908","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","129","Number of item","870413","Kilogram","268,176,124",
"201908","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","40","Number of item","193718","Kilogram","36,071,853",
"201908","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","10","Number of item","8530","Kilogram","5,146,808",
"201908","84862031","Step and repeat alignersw","9","Number of item","82185","Kilogram","22,981,986",
"201908","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","29","Number of item","157380","Kilogram","82,658,364",
"201908","84862041","Dry plasma etching for the manufacture of semiconductor or IC","139","Number of item","451539","Kilogram","203,590,480",
"201908","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","75","Number of item","322045","Kilogram","77,911,670",
"201908","84862050","Ion implanters","21","Number of item","413091","Kilogram","42,710,209",
"201908","84862090","Other apparatus for the manufacture of semiconductor devices","304","Number of item","736324","Kilogram","152,982,029",
"201909","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","131","Number of item","620268","Kilogram","141,801,793",
"201909","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","87","Number of item","539150","Kilogram","143,503,598",
"201909","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","53","Number of item","95717","Kilogram","27,357,715",
"201909","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","8","Number of item","23235","Kilogram","13,438,417",
"201909","84862031","Step and repeat alignersw","11","Number of item","116036","Kilogram","134,417,368",
"201909","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","56","Number of item","249419","Kilogram","78,724,717",
"201909","84862041","Dry plasma etching for the manufacture of semiconductor or IC","75","Number of item","222484","Kilogram","108,749,682",
"201909","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","118","Number of item","388929","Kilogram","65,056,745",
"201909","84862050","Ion implanters","9","Number of item","168475","Kilogram","21,945,598",
"201909","84862090","Other apparatus for the manufacture of semiconductor devices","422","Number of item","545250","Kilogram","123,544,994",
"201910","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","83","Number of item","355850","Kilogram","115,426,279",
"201910","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","67","Number of item","372968","Kilogram","138,089,396",
"201910","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","44","Number of item","216747","Kilogram","59,415,389",
"201910","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","17870","Kilogram","8,319,261",
"201910","84862031","Step and repeat alignersw","3","Number of item","43000","Kilogram","76,579,021",
"201910","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","30","Number of item","223273","Kilogram","204,346,200",
"201910","84862041","Dry plasma etching for the manufacture of semiconductor or IC","104","Number of item","266367","Kilogram","128,047,072",
"201910","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","51","Number of item","262868","Kilogram","51,758,184",
"201910","84862050","Ion implanters","19","Number of item","349283","Kilogram","33,812,424",
"201910","84862090","Other apparatus for the manufacture of semiconductor devices","261","Number of item","455884","Kilogram","95,245,112",
"201911","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","83","Number of item","322304","Kilogram","80,155,119",
"201911","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","121","Number of item","634252","Kilogram","224,371,987",
"201911","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","31","Number of item","154062","Kilogram","37,529,100",
"201911","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","16","Number of item","24383","Kilogram","11,087,382",
"201911","84862031","Step and repeat alignersw","12","Number of item","151171","Kilogram","90,526,564",
"201911","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","99","Number of item","241755","Kilogram","97,189,161",
"201911","84862041","Dry plasma etching for the manufacture of semiconductor or IC","115","Number of item","393375","Kilogram","168,098,356",
"201911","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","56","Number of item","269832","Kilogram","66,351,805",
"201911","84862050","Ion implanters","19","Number of item","359883","Kilogram","37,227,455",
"201911","84862090","Other apparatus for the manufacture of semiconductor devices","295","Number of item","730860","Kilogram","155,190,264",
"201912","84862010","Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC","122","Number of item","542750","Kilogram","112,263,824",
"201912","84862021","Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC","117","Number of item","587680","Kilogram","186,200,683",
"201912","84862022","Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC","57","Number of item","171921","Kilogram","51,823,945",
"201912","84862029","Other film deposition equipment for the manufacture of semiconductor or IC","13","Number of item","408951","Kilogram","39,132,258",
"201912","84862031","Step and repeat alignersw","18","Number of item","163523","Kilogram","106,662,892",
"201912","84862039","Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC","42","Number of item","238974","Kilogram","211,067,582",
"201912","84862041","Dry plasma etching for the manufacture of semiconductor or IC","111","Number of item","440274","Kilogram","216,435,034",
"201912","84862049","Other etching and stripping equipment for the manufacture of semiconductor or IC","69","Number of item","429505","Kilogram","89,634,778",
"201912","84862050","Ion implanters","17","Number of item","306509","Kilogram","45,375,995",
"201912","84862090","Other apparatus for the manufacture of semiconductor devices","441","Number of item","743615","Kilogram","158,200,269",
